what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1341386178693
started,bundle,org.eclipse.osgi,3.7.2.dist,"org.eclipse.osgi",1341386178695
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.dist,"org.eclipse.equinox.simpleconfigurator",1341386178696
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1341386178697
started,bundle,org.eclipse.compare.core,3.5.200.dist,"org.eclipse.compare.core",1341386178697
started,bundle,org.eclipse.core.contenttype,3.4.100.dist,"org.eclipse.core.contenttype",1341386178697
started,bundle,org.eclipse.core.databinding.observable,1.4.0.dist,"org.eclipse.core.databinding.observable",1341386178698
started,bundle,org.eclipse.core.expressions,3.4.300.dist,"org.eclipse.core.expressions",1341386178698
started,bundle,org.eclipse.core.filebuffers,3.5.200.dist,"org.eclipse.core.filebuffers",1341386178698
started,bundle,org.eclipse.core.filesystem,1.3.100.dist,"org.eclipse.core.filesystem",1341386178698
started,bundle,org.eclipse.core.jobs,3.5.101.dist,"org.eclipse.core.jobs",1341386178699
started,bundle,org.eclipse.core.net,1.2.100.dist,"org.eclipse.core.net",1341386178699
started,bundle,org.eclipse.core.resources,3.7.101.dist,"org.eclipse.core.resources",1341386178699
started,bundle,org.eclipse.core.runtime,3.7.0.dist,"org.eclipse.core.runtime",1341386178699
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.dist,"org.eclipse.core.runtime.compatibility",1341386178700
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.dist,"org.eclipse.core.runtime.compatibility.auth",1341386178700
started,bundle,org.eclipse.core.variables,3.2.500.dist,"org.eclipse.core.variables",1341386178701
started,bundle,org.eclipse.debug.core,3.7.1.dist,"org.eclipse.debug.core",1341386178701
started,bundle,org.eclipse.equinox.app,1.3.100.dist,"org.eclipse.equinox.app",1341386178701
started,bundle,org.eclipse.equinox.common,3.6.0.dist,"org.eclipse.equinox.common",1341386178701
started,bundle,org.eclipse.equinox.ds,1.3.1.dist,"org.eclipse.equinox.ds",1341386178702
started,bundle,org.eclipse.equinox.event,1.2.100.dist,"org.eclipse.equinox.event",1341386178703
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.dist,"org.eclipse.equinox.frameworkadmin",1341386178703
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.dist,"org.eclipse.equinox.p2.artifact.repository",1341386178703
started,bundle,org.eclipse.equinox.p2.core,2.1.1.dist,"org.eclipse.equinox.p2.core",1341386178703
started,bundle,org.eclipse.equinox.p2.director,2.1.1.dist,"org.eclipse.equinox.p2.director",1341386178704
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.dist,"org.eclipse.equinox.p2.directorywatcher",1341386178704
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.dist,"org.eclipse.equinox.p2.engine",1341386178704
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.dist,"org.eclipse.equinox.p2.extensionlocation",1341386178704
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.dist,"org.eclipse.equinox.p2.garbagecollector",1341386178704
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.dist,"org.eclipse.equinox.p2.metadata",1341386178704
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.dist,"org.eclipse.equinox.p2.metadata.repository",1341386178704
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.dist,"org.eclipse.equinox.p2.operations",1341386178704
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.dist,"org.eclipse.equinox.p2.publisher",1341386178704
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.dist,"org.eclipse.equinox.p2.publisher.eclipse",1341386178705
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.dist,"org.eclipse.equinox.p2.reconciler.dropins",1341386178705
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.dist,"org.eclipse.equinox.p2.repository",1341386178705
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.dist,"org.eclipse.equinox.p2.touchpoint.eclipse",1341386178705
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.dist,"org.eclipse.equinox.p2.ui.sdk.scheduler",1341386178705
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.dist,"org.eclipse.equinox.p2.updatechecker",1341386178705
started,bundle,org.eclipse.equinox.preferences,3.4.2.dist,"org.eclipse.equinox.preferences",1341386178705
started,bundle,org.eclipse.equinox.registry,3.5.101.dist,"org.eclipse.equinox.registry",1341386178705
started,bundle,org.eclipse.equinox.security,1.1.1.dist,"org.eclipse.equinox.security",1341386178705
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.dist,"org.eclipse.equinox.simpleconfigurator.manipulator",1341386178705
started,bundle,org.eclipse.equinox.util,1.0.300.dist,"org.eclipse.equinox.util",1341386178705
started,bundle,org.eclipse.help,3.5.100.dist,"org.eclipse.help",1341386178705
started,bundle,org.eclipse.jdt.core,3.7.3.dist,"org.eclipse.jdt.core",1341386178705
started,bundle,org.eclipse.jface,3.7.0.dist,"org.eclipse.jface",1341386178705
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.dist,"org.eclipse.ltk.core.refactoring",1341386178705
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.dist,"org.eclipse.ltk.ui.refactoring",1341386178705
started,bundle,org.eclipse.team.core,3.6.0.dist,"org.eclipse.team.core",1341386178705
started,bundle,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui",1341386178705
started,bundle,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console",1341386178705
started,bundle,org.eclipse.ui.editors,3.7.0.dist,"org.eclipse.ui.editors",1341386178705
started,bundle,org.eclipse.ui.forms,3.5.101.dist,"org.eclipse.ui.forms",1341386178706
started,bundle,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.ide",1341386178706
started,bundle,org.eclipse.ui.intro,3.4.100.dist,"org.eclipse.ui.intro",1341386178706
started,bundle,org.eclipse.ui.intro.universal,3.2.500.dist,"org.eclipse.ui.intro.universal",1341386178706
started,bundle,org.eclipse.ui.navigator,3.5.101.dist,"org.eclipse.ui.navigator",1341386178706
started,bundle,org.eclipse.ui.net,1.2.100.dist,"org.eclipse.ui.net",1341386178706
started,bundle,org.eclipse.ui.views,3.6.0.dist,"org.eclipse.ui.views",1341386178706
started,bundle,org.eclipse.ui.workbench,3.7.1.dist,"org.eclipse.ui.workbench",1341386178706
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.workbench.texteditor",1341386178706
started,bundle,org.eclipse.update.configurator,3.3.100.dist,"org.eclipse.update.configurator",1341386178706
started,bundle,org.eclipse.update.core,3.2.500.dist,"org.eclipse.update.core",1341386178706
started,bundle,org.eclipse.update.scheduler,3.2.300.dist,"org.eclipse.update.scheduler",1341386178706
started,bundle,org.eclipse.jdt.apt.core,3.3.500.dist,"org.eclipse.jdt.apt.core",1341386178706
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.dist,"org.eclipse.jdt.apt.pluggable.core",1341386178706
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.dist,"org.eclipse.jdt.core.manipulation",1341386178706
started,bundle,org.eclipse.jdt.junit.core,3.7.0.dist,"org.eclipse.jdt.junit.core",1341386178706
started,bundle,org.eclipse.jdt.launching,3.6.1.dist,"org.eclipse.jdt.launching",1341386178706
started,bundle,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui",1341386178706
started,bundle,org.eclipse.pde.launching,3.6.0.dist,"org.eclipse.pde.launching",1341386178706
started,bundle,org.eclipse.pde.ui,3.6.100.dist,"org.eclipse.pde.ui",1341386178706
started,bundle,org.eclipse.ui.views.log,1.0.200.dist,"org.eclipse.ui.views.log",1341386178706
started,bundle,org.eclipse.actf.model.ui,0.9.1.R201109141305,"org.eclipse.actf.model.ui",1341386178706
started,bundle,org.eclipse.actf.ui,0.9.1.R201109141305,"org.eclipse.actf.ui",1341386178706
started,bundle,org.eclipse.actf.visualization.blind,0.9.1.R201109141305,"org.eclipse.actf.visualization.blind",1341386178706
started,bundle,org.eclipse.actf.visualization.gui,0.9.1.R201109141305,"org.eclipse.actf.visualization.gui",1341386178706
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1341386178706
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1341386178706
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1341386178706
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1341386178706
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1341386178706
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1341386178706
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1341386178706
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1341386178706
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1341386178706
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1341386178706
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1341386178706
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20101211-0331,"org.eclipse.dltk.rse.core",1341386178706
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20101212-1106,"org.eclipse.dltk.rse.ui",1341386178706
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1341386178706
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1341386178706
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1341386178706
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1341386178706
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1341386178707
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1341386178707
started,bundle,org.eclipse.photran.core,7.0.0.201202151942,"org.eclipse.photran.core",1341386178707
started,bundle,org.eclipse.photran.core.vpg,7.0.0.201202151942,"org.eclipse.photran.core.vpg",1341386178707
started,bundle,org.eclipse.rse.connectorservice.local,2.1.300.v201101042155,"org.eclipse.rse.connectorservice.local",1341386178707
started,bundle,org.eclipse.rse.core,3.2.1.R33x_v201109141647,"org.eclipse.rse.core",1341386178707
started,bundle,org.eclipse.rse.services,3.2.101.R33x_v201109141647,"org.eclipse.rse.services",1341386178707
started,bundle,org.eclipse.rse.services.local,2.1.300.v201105311250,"org.eclipse.rse.services.local",1341386178707
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.101.R33x_v201107181530,"org.eclipse.rse.subsystems.files.core",1341386178707
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.local",1341386178707
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.201.R33x_v201106281309,"org.eclipse.rse.subsystems.shells.core",1341386178707
